This file is created using OBDScope v1.71
31.10.2013
www.obdscope.com

;;0x04;0x05;0x06;0x07;0x0b;0x0b;0x0c;0x0d;0x0d;0x0e;0x0f;0x10;0x11;0x15;0x21;0x24;0x24;0x24;0x439;0x438;0x437;0x437;0x437;0x442;0x442;0x443;0x470
Cycle;Timestamp;Calculated Load (%);Engine Coolant Temperature (°C);Short Term Fuel Trim B1 (%);Long Term Fuel Trim B1 (%);Intake Manifold Pressure (kPa(a));Intake Manifold Pressure (bar(g));Engine RPM (1/min);Vehicle Speed (km/h);Vehicle Speed (m/s);Timing advance (°);Intake Air Temperature (°C);Air Flow Rate (g/s);Absolute Throttle Position (%);O2 Sensor B1S2 (V);Distance with MIL (km);O2 Sensor (L/WB) B1S1 (V);O2 Sensor (L/WB) B1S1 (EqR);O2 Sensor (L/WB) B1S1 (lambda);Fuel System (0=Closed 1=Cold(O) 2=Load(O) 3=Fail(O) -1=Fail(C);OBD Port Voltage (V);Momentary Fuel Economy (l/100km);Momentary Fuel Economy (km/l);Momentary Fuel Economy (l/h);Engine power (hp);Engine power (kW);Engine torque (Nm);AFR B1S1
66;08:31:52.0;4.70588;51;-11.718;-2.3436;44;-0.57325;1009.25;0;0;16;19;5.69;13.3333;0.02;0;2.11707;1.00685;0.993195;0;13.2;;;1.93618;6.3309;4.65638;44.6677;14.6583
67;08:31:53.015;4.70588;51;-11.718;-2.3436;44;-0.57325;1009.25;0;0;16;19;5.69;13.3333;0.01;0;2.11707;1.00685;0.993195;0;13.2;;;1.93618;6.3309;4.65638;44.6677;14.6583
68;08:31:54.0;4.70588;51;-11.718;-2.3436;44;-0.57325;1009.25;0;0;16;19;5.69;13.3333;0.01;0;2.17712;0.991138;1.00894;0;13.4;;;1.93618;6.3309;4.65638;44.6677;14.6583
69;08:31:55.0;4.70588;52;-11.718;-2.3436;44;-0.57325;1009.25;0;0;16;19;5.69;13.3333;0.01;0;2.17712;0.991138;1.00894;0;13.4;;;1.93618;6.3309;4.65638;44.6677;14.7561
70;08:31:56.0;4.70588;52;-11.718;-2.3436;44;-0.57325;996.75;0;0;15;19;5.69;13.3333;0.01;0;2.17712;0.991138;1.00894;0;13.4;;;1.93618;6.3309;4.65638;45.2279;14.7561
71;08:31:57.0;4.70588;52;-11.718;-2.3436;44;-0.57325;996.75;0;0;15;19;5.8;13.3333;0.005;0;2.17712;0.991138;1.00894;0;13.4;;;1.97361;6.45329;4.74639;46.1022;14.7561
72;08:31:58.0;4.70588;52;-11.718;-2.3436;44;-0.57325;996.75;0;0;15;19;5.8;13.3333;0.005;0;2.14709;1.00125;0.998749;0;13.4;;;1.97361;6.45329;4.74639;46.1022;14.7426
73;08:31:59.0;4.70588;52;-10.9368;-2.3436;44;-0.57325;996.75;0;0;15;19;5.8;13.3333;0.005;0;2.14709;1.00125;0.998749;0;13.4;;;1.97361;6.45329;4.74639;46.1022;14.7426
74;08:32:00.0;4.70588;52;-10.9368;-2.3436;44;-0.57325;984.25;0;0;15;19;5.8;13.3333;0.005;0;2.14709;1.00125;0.998749;0;13.4;;;1.97361;6.45329;4.74639;46.6877;14.7426
75;08:32:01.01;4.70588;52;-10.9368;-2.3436;44;-0.57325;984.25;0;0;15;19;5.73;13.3333;0.11;0;2.14709;1.00125;0.998749;0;13.4;;;1.94979;6.37541;4.68911;46.1242;14.7426
76;08:32:02.0;4.70588;52;-10.9368;-2.3436;44;-0.57325;984.25;0;0;15;19;5.73;13.3333;0.11;0;2.19714;0.988;1.01215;0;13.4;;;1.94979;6.37541;4.68911;46.1242;14.7426
77;08:32:03.0;4.70588;53;-10.9368;-2.3436;44;-0.57325;984.25;0;0;15;19;5.73;13.3333;0.11;0;2.19714;0.988;1.01215;0;13.4;;;1.94979;6.37541;4.68911;46.1242;14.7018
78;08:32:04.0;4.70588;53;-10.9368;-2.3436;43;-0.58325;987.5;0;0;16;19;5.73;13.3333;0.11;0;2.19714;0.988;1.01215;0;13.4;;;1.94979;6.37541;4.68911;45.9724;14.7018
79;08:32:05.0;4.70588;53;-10.9368;-2.3436;43;-0.58325;987.5;0;0;16;19;5.55;12.9412;0.055;0;2.19714;0.988;1.01215;0;13.4;;;1.88854;6.17513;4.54181;44.5283;14.7018
80;08:32:06.0;4.70588;53;-10.9368;-2.3436;43;-0.58325;987.5;0;0;16;19;5.55;12.9412;0.055;0;2.14209;1.003;0.997009;0;13.3;;;1.88854;6.17513;4.54181;44.5283;14.6982
